year,zip_code,is_brand,volume_sold,sale_dollars
2012,51046,0,8155.68,91093.44
2012,51046,1,11.12,354.52
2012,51050,0,11190.96,142656.57
2012,51050,1,21,695.72
2012,51053,0,1412.37,13976.01
2012,51054,0,10936.06,127104.81
2012,51054,1,22.5,788.8
2012,51055,0,4763.1,58478.88
2012,51055,1,21.75,767.2
2012,51058,0,3209.33,33637.88
2012,51101,0,19916.61,287931.33
2012,51101,1,252.01,8614.58
2012,51103,0,125050.27,2014550.69
2012,51103,1,1844,61149.71
2012,51104,0,78950.55,1074278.29
2012,51104,1,453.35,15448.83
2012,51105,0,74175.02,928736.98
2012,51105,1,291.5,9799.17
2012,51106,0,225380.08,2992584.17
2012,51106,1,1250.66,44092.28
2012,51108,0,51728.38,626452.62
2012,51108,1,169.32,6051.95
2012,51109,0,8196.55,95119.4
2012,51109,1,54,1929.12
2012,51201,0,69553.1,868798.05
2012,51201,1,215.56,7363.65
2012,51230,0,67.5,765.91
2012,51237,0,3337.59,37644.26
2012,51237,1,13.12,430.08
2012,51240,0,3907.2,57700.7
2012,51240,1,6,195.96
2012,51241,0,12044.5,168286.4
2012,51241,1,169,5329.83
2012,51245,0,7411.67,89381.25
2012,51245,1,18,587.88
2012,51246,0,21292.23,265198.29
2012,51246,1,12.4,408.26
2012,51247,0,12885.29,156742.49
2012,51247,1,18.75,672
2012,51248,0,6145.3,73795.84
2012,51248,1,31,1012.46
2012,51249,0,18490.52,218330.53
2012,51249,1,49.45,1606.48
2012,51250,0,47674.6,602129.23
2012,51250,1,174,6182.72
2012,51301,0,123649.24,1410842.65
2012,51301,1,247.04,8768.56
2012,51331,0,25022.55,351427.2
2012,51331,1,225.5,7608.25
2012,51334,0,47763.57,565689.1
2012,51334,1,46.69,1670.88
2012,51338,0,696.25,7495.56
2012,51346,0,13007.59,147280.72
2012,51346,1,27.7,942.66
2012,51347,0,2412.5,30467.28
2012,51351,0,84409.55,1059454.34
2012,51351,1,739.74,24342.01
2012,51355,0,2481.68,29301.1
2012,51355,1,21.38,761.52
2012,51358,0,3413.25,32983.49
2012,51358,1,11.75,405.94
2012,51360,0,175305.96,2178337.46
2012,51360,1,855.37,28973.56
2012,51401,0,167916.44,2217355.73
2012,51401,1,942.07,31369.27
2012,51442,0,92935.63,1154859.24
2012,51442,1,235.4,7972.58
2012,51443,0,1478.66,19155.57
2012,51445,0,15371.5,167881.39
2012,51445,1,42.5,1378.84
2012,51449,0,11357.75,129078.3
2012,51449,1,32.75,1167.68
2012,51450,0,17298.72,214572.3
2012,51450,1,60.75,1982.56
2012,51455,0,7593.73,95615.33
2012,51455,1,6,186.35
2012,51461,0,8613.75,122698.5
2012,51461,1,64,2090.24
2012,51462,0,1650.84,21707.31
2012,51501,0,336073.72,4834372.26
2012,51501,1,3057.89,102114.36
2012,51503,0,262941.73,3559011.64
2012,51503,1,1015.24,34525.46
2012,51510,0,3463.66,48253.66
2012,51510,1,17.67,619.68
2012,51521,0,23181.62,325840.01
2012,51521,1,44.38,1458.1
2012,51534,0,27428.55,309558.86
2012,51534,1,120,4178.7
2012,51535,0,2971.91,33278.28
2012,51537,0,53332.45,702143.96
2012,51537,1,220.66,7460.74
2012,51546,0,5905.5,67107.05
2012,51546,1,18,587.88
2012,51551,0,1967.82,23794.58
2012,51555,0,16272.33,206691.23
2012,51555,1,66,2129.69
2012,51559,0,2674.15,36360.11
2012,51559,1,75.75,2691.36
2012,51560,0,8080.63,94680.32
2012,51560,1,9,323.52
2012,51561,0,4833.33,69777.35
2012,51561,1,24.6,917.88
2012,51566,0,45084.86,553907.07
